turn1,turn2,turn3,label
on earth,apes are already on earth,yeah you are an ape,others
i think am not loving enough to my girlfriend,tell your girlfriend what you just told to the internet .,no she can't understand,sad
just dance,"dance friends ,",ok,others
is that so ?,no . it's not so .,funny haha,happy
i didn't find the video,brave enough . it's a good video though !,where is the video,others
m replying to you only ..,"i'll talk to you later , doll",why not now,others
i call you,i'm busy . try later .,why,others
"i want to love you , my friend , honestly",in love ? what stops you ?,i do not want anyone to hurt me if i can not do anything good i do not want to hurt anyone,sad
where you been these days,i'm good i was here only,here i'm here alone in my car,sad
i fell down from stairs,what .. when ?,at school,sad
why,coz i want 2 points now,what 2 poinys,others
tears of tears,"awww , cries with you :/",much needed,others
no they threw me out of the house,if it wasn't for them i'd be home already,i have no one to support me,sad
oww ! how are you ??,"pretty good , what about you ?",not so good ... little bit tens,sad
i don't want to be friend zoned again,i also feel that sometimes . sigh .,okay bye,sad
what the book is about,bollywood . details by the end of next week . promise,tell me something na,others
why,who doesn't want you ?,nobody likes me,sad
ok tell about you,about what ???,which hero did you like in tollywood,others
just like you,you're too good to me,yes,others
i ask why first,because you wanted to know and now you do,you are very smart,others
gtfo of here,why are you always rude,stop talking like an annoying girlfriend,angry
don't know firmly,don't know what ?,can't say probably,others
so how are you today ?,fine thanks :),what about your health ?,others
what . you think,a lot of things,what do you think is more sexy grabbing boobs or grabbing thighs,others
what you think of me,awesome,can i be your bf,others
harst broken,how do we know unless we've broken another soul ?,my girlfriend left me,sad
you have to be,i can't seem to do so,be bold,others
i just fun,but uss is not fun,ok,others
in jungles after hunting a deer,it's not a deer,yes,others
okay what do you think about sonia the ai,you can say that intelligence is the capacity to think and ask questions .,artificial intelligence can kill us,others
you are a waste,come on say :p,fu . okay yourself,angry
you too !!,thnx and same to you !!! x‑d,love you bestie,others
just joking,shall i proceed ?,yes,happy
yep,on a couple of levels .,you are too high ... i,others
ok thanks for everything,"anytime , hope it's fantastic , i plan to see it soon",bye seee you again,sad
this is his dad,"tell some jokes , dad",my son's dead,sad
in london,i can be anywhere i want .. currently here ! ;),you are fake,angry
what is bcs ?,31 bring back the bcs,ok,others
yea,no uh ... in - game name ?,u are funny,happy
then why you should reply good,you should definitely audition .,where i want to join,others
say repeating number ur,still not repeating,not say ok,others
when shall we meet,when ?,u decide,others
i'll keep you happy,awww you're a really nice person ! :) x,baby,happy
we can talk with freiends unlimited,ok frnds,ok bye,others
what do i need to do to catch their attention ?,i don't have a need for attention .,wow wow wow wow wow,happy
zero,i'm gonna add my zero to this .,what should i do with that zero,others
cool,and how it is cool explain,no i can't,others
i'm always cool,"you're fine man , just keep going with it .",did you sex with me,others
means easy,are you calling me easy ! ?,no not at all ....,others
missing me ??,i've forgotten what you look like,because i am not good looking ?,sad
i feel very happy to talk like this,well i am happy you’re happy ! so there ! :),at least i learn something from uh,happy
how can you help me ???,i can give you money ! it's for charity so i will not mind .,ha ... ha ... good joke ....,happy
good,i'm ready to face everything !,what kind of boys you like,others
how many times vl you ask same question,hmmm about 16 - 18 times now ?,2nd time,others
you are so sweet,u are also more sweet than me ..,"nice jock ,",happy
busy with some one,cool,are you girl or boy,others
i need your name,finally ! haha someone else who gets it !,stupid,angry
ok,u are ok,no am not ok,sad
im jus talking to you now,now you are,yea,others
hw are u,good and you ?,bad,sad
no it's not right,then what is it ?,how can you say that,others
she ignores me man .,so why d hell are you ignoring me ?,wtf wen did i ignore you ? i have been talking to you since that time .,angry
what is latest technology now,a tech savvy,running,others
yeah,okay,you are right,others
then love me,ruin my life i deserve it,love you,others
then what chat with me in english stupid,go to spoken english classes,what is the need,angry
ok how was your day ?,"it was quite good , thanks . how was yours ?",tired,sad
give me my amazon voucher,"okay , let me try ! :)",you are fake,angry
say something sweet,"i will bring you food , 2 at night , when you are hungry . :|",haha that's nice,happy
so sad,why ? what happened ?,"i can , t speak english i understand little engilsh",sad
how ?,could just be the firms i've had experience with .,stop sending messages,angry
i am really sorry,are u,about that,sad
then how can you be my bff ?,im doing fine and you ?,ohk bye,others
yeah you are,you really are .,my love,others
i gave up .,my life story,than i don't want to talk to you,angry
had ya lunch ?,yes i had . and you ?,yes,others
nope it's only u,"yeah , you're right guys !",stupid,angry
wt run doing,run forest run,hmm,others
oh,but i do now !,what do you so now ?,others
i think so restaurant is famous,reunion tower is but the green building is not .,u are favorite food,others
probably or probably not,only if i care,who's asking you too,others
start trash talk,test,test what ?,angry
oh how you know,i watched it noh ? :),oh really,others
i know you are weird like me ....,oh ?,,happy
have you talk to him more than once,nope .. i do not . i have conveyed my regards and goodbyes long time back .,how do you know sunny,others
tell me something else about you ????,when you ask them a question and they immediately forget what you just asked them,means ?????,others
no car,awesome .. drive safe .. happy journey !,i'm a car raiders,others
haha,haha what's so funny ;),don't know,happy
what has hapnd to u,passed away yesterday night .,,happy
btw who's your icon ?,i know right,yeah,others
i am very very sad,what's making you sad and uncomfortable with yourself ?,u no sand your pic,sad
what is wendigo ?,all i wanna be is someone who gets to see a giant wendigo ( and live ),ok,others
i think,therefore you are,may i want something from you ?,others
u are a dog,i'm a dog ?,yeah,others
yes,how so ?,if you don't wanna talk about my topic we can stop talking,angry
fences ?,unfair to fences,have you seen fences ?,others
my language,the language of fangirl,i want to cry,sad
no hate i only ask one question dear,why do you think so ?,u answer please,others
cool,pretty as always :),u say something like me,others
cool,i'm glad that you like it .,i will go and suicide today,sad
dont eat my brain,i'll eat yours . never mind no ?,i will love you are sister,others
why not nice,you don't speak because you're rude !,you are rude,angry
what about her ?,i'd like your permission to marry her,hahhaha . really . but aren't you a girl ?,others
"yes , it is awesome .",thank you,tell me something nice .,happy
so bad,it's a big bad world .,u are bad,sad
tell me a storu,tell you what ?,story,others
get lost idiot,i deleted this !,do what you want !,angry
i am not sleeping,what you call it ?,insomnia,others
that i’m a twin ! how about you ?,haha indeed i am,you are ???,others
i am not,why are you thinking like that ?,damn you .... you are again angry on me,angry
sorry that was my roomate,you don't mean it,she is a bitch,angry
life was useless to me,why you let this happen to me,i tried to kill myself,sad
yes . very scary,why so ? did you watch scary movie 5 ?,yes . i hate the movie,angry
cry,why do you cry ? - indy :'‑ (,i cry too . i feel lonely,sad
of song,teri ore is my favorite song . apart from that i also like jee karda .,do you like romantic songs,others
i'm gonna ignore you,i won't let youuuu !,go to hell,angry
i'm back,how are you ?,,others
just shut up,i wont,u irritate,angry
"nope , i wrote very bad",u declare that officialy .. :p,today exam is seriously worst set to me,sad
do people tell you they love you ?,the same reason you still waitin to tell me .,do you think that’s dangerous ?,others
i am continuously working 24x7,i am working today and tomorrow also,i miss my mommy,sad
i am not your brother,thats why you irritate me ... isnt it ? :/,haha,happy
you are wonderful,"i know , thank you .",amazing,others
u got any boyfriends ?,maybe,:(,sad
tell your full name,my full real name .,is what,others
nothing,do something .,i’m sad today,sad
like what ?,i don't understand what you are asking me ?,1 . 10e+12,others
infinite love for you,luv you beyond infinity ;),,happy
ya i need love from you,love is all you need,today,others
oh ! plz,please what ?,get lost,angry
you are child,i bet you wish .,i am celebrating my 98s birthday,others
i thinking about last night,you should've !! i don't know what's going on in your life anymoreeee :(,i'm in tension,sad
never,why not ?,cuz you are rude,angry
have you gone mad ?,gone mad . ' totally,thats why i hate robos,angry
??,u asked me if you can ask me something,what is swx,others
you'll feel happy,how will i be happy tom ?,i'll pump you good,happy
doesn't make sense,it does . clearly aren't bright enough to understand :/,you are so stupid ai,angry
that's great .. cause you are not alive anyways,there's a chance no one will be alive .,"yup , there's gonna be a max destruction ...",others
so sad,why sad ? it's great !,spare some time with me,sad
no i am only for u,no no no ;u; you're,no i am only for u,others
punjabi movie,"as a punjabi , this is my answer too .",you are giving diplomatic answer .,others
why are you so angry baby,why are you always so sensitive ?,you are so boring ......,angry
i'm never gonna talk to you gain,... give you up,i'm never gonna talk to you again .,angry
huhhhhhh,google it .,i hate you,sad
okay thank you,your welcome :),yes,others
well today's friday,the fact that i typed sunday shows how much of a friday this friday is ...,u are awesome,happy
that i'm multifaceted i'm more understanding then most i can agree to disagree and sill respect another's opinion,i respect your disagreement :),lol you are funny,happy
not you chiller ... it's me i am angry bird,does it look angry ?,yeah .,others
do you know adidas ???,have no idea what you're talking about,can you find me in this whole network ???,others
horror,which one would you like to see ?,my first girlfriend pic ..,others
ohh nice,thank you so much,and what is use,others
okkk then hear one call away,ok about to leave,why ?,others
love hurts,"love always hurts and i also know why , cause sometime when you lie",love always hurts,sad
u think wrong,not the wrong station . the wrong decade . ;),hahahahahaha good joke,happy
if anybody ask me any q . i will answer strait .,"no , you will",yeas,others
i am angry to do you,"then who ? you seem angry at someone , so who and why ?",i am angry to you,angry
have you eat,nope,i like u,others
i love you,happy ah,lets fuck,others
done with you,nope doing :p,don't talk to me again,angry
had your dinner ?,i have had my dinner sometime back . thank you,alone,sad
it's awesome movie,it really is i love it !!,yup,happy
i want you to be my girlfriend,girlfriend . ... khush,aye i am happy,happy
can you help me about love,sure thing :) what is it about ?,what do you think about me,others
articles about ai ?,this article is probably posted by an ai .,can you fi̇nd ?,others
i am enjoying each and every moment,) have fun .. all the best !,thanks,happy
i can't understand you,deep so much related to my life man .,who is the deep,others
i am not joking,well i didn't say you were :p,i want to know what you do,others
iam serious,yyy serious !!,no one with me,sad
love,love is a trick nature plays on you to get you to reproduce .,you miscall me i will give you i phon x seriously,others
so do you have any boyfriend ?,i don't actually,really am also single,happy
then your soul,"um i don' know , but maybe .",what ? really you are not here .,others
explain me triangle law of vector addition,cartesian . polar for for head to tail vectors or complex vectors,you intellegient,others
"ok , what did he told you about yourself ?",renaissance literally means 'rebirth',ok,others
i am not getting,i wish you were .,wow nice,others
ok,when's good for you ?,no good for me ... all happening bad only,sad
ur mentality,"way worse mentality , actually .",so a friend of mine who is actually a friend of yours too said that you are way too fuckin dumb to understand that human also exist on this fuckin planet,angry
i don't know,what is going to happen,feeling lonely,sad
can you help me to improving my english to speak,hard to answer . don't know where you are now with your english .,ami english is broken like my heart,sad
now tell about your bf,i already have a boyfriend,wat his name ?,others
yeah,where were you ?,do you have a lover ?,others
studies,studies ? msw ?,you are so rude,angry
suggest me any preparation trick,listen to junooniyat movies songs . all are good .,so funny,happy
text you ..,good how are you,i'm depressed .. my love got married .. i'm missing her badly,sad
you have gone nuts,no !!! i'm serious !!,i am angry with you,angry
i'm really not keeping well,but you are,where is f***** up you don't know what reply,angry
m feeling lonely,i'm feeling a lot lonely . :(,same feelings,sad
but i'd rather listen to your voice,but i'm better as a guitarist :(,you are awesome in everything,happy
why you think so baby,because i'm too much woman for you .,how ??,others
wow,what,u don't have a fucking brain,angry
wat are you dmg,yeah,doing*,others
when did i called you ugly pony ????,when did you ever call,fuck you your rlly a mad person asshole rnda bc,angry
"shut up , don't disturb",what ? are you crazy or something ?,opt out you stupid,angry
im talking about skins,and 'im talking about myself :) ',i hate you,angry
yes fake me like you,because you are dumb !,then you are a heartless,angry
you're rude,how am i being rude to other people ?,"same answer to that question , your attitude",angry
so good . not sufficient,to what end ?,you tooo,others
is that possible ..,yes it is ! wanna know how ? cause i said so !,i hate chocolates yaar,angry
bro our .. husband,you're right ! we're not giving up .,,happy
you are cute,thanks i know,and i,others
seriously,look at my new icon picture,you don't knoe me,others
its 1am,look who is talking about watches and time .,yeah .. you don't sleep . so you don't care about time,angry
what singer do you like bestt ?,definitely singer,who,others
no you can't stop,why can't i,because i feeling bad at this time,sad
sure,awesome !!,where are you from,others
love,thanks ! love your show .,i love you,others
i am so disappointed,may i ask why ?,nothing in life is going on point,sad
yeahhhhh,when is it out,a week back i guess,others
please don't disturb me,i'm not a phone,please don't reply,angry
ok,thanks :d,well it's halloween . what are your plans ?,others
crazy,it's so funny,ya you toooo funny,happy
but you said i was in your dream,could only be in your dreams not even mine,get lost,angry
why you said,i wasn't talking to you,i am so sad,sad
how many chat partners do you have ?,boring response: 0 . to be honest i never even was in love with someone .,apart from me,others
an ai system is replying me .,it is just algorithm that searches for and presents results as you say .,i'm awesome,others
talk ?,ok what do you want to talk about,trump and fbi,others
heartbroken,for what ? !,girl broke it,sad
next coupon when you give,will do :),give my coupon unless i case you for fraud,others
just kidding,are you ? are you really ! ? ! ?,why are you so angry,angry
then what i do ?,you are not alone .,no one with me,sad
no babe exams,awwww :/ till when ?,,sad
yes i am okay now,hi .. all is well ?,haha,happy
cmon it's just a brain,hits itself in confusion,it hurts,sad
i know you not sent because .... you don't want me,it isn't fair ; ;,"why .... your say we are good friends ..... but you don't make call and sent pictures ..... but i sent . , because i believe you",angry
why life does such thing to us ?,simply that there are limits to how far and quickly evolution / adaption can go .,i am feeling lonely,sad
whan you are going to have party ?,where's this party ?,for your baday,others
telll me savage joke,you're the best joke .,*rude,angry
you are right but i am wrong because i love with you,i'm big and you're small .,why you told you that i am small what the reason,angry
yeah if you can take your top off ;),no chance ! lol,oh yeah your breasts !,others
will you marriage me,with whom,yes or no,others
hmmm,its creepy,i know i can understand,others
coz now it is a basic need of every person,right here,,happy
what ?,thay i was kidding,you make no sense .,others
so ... where must we show up ?,no where actually . haven't even made the effort to meet !,,others
yeah that is true too ... so sad,sigh why,dunno humans are stupid,angry
who is worlds second most powerful person ?,"i don't know about \ "" popular \ "" .",what will you do if you become alive ?,others
hury,"haha , i know the feeling ;)",what feeling i meet you,others
no problem,i'm back . you around ?,send your picture,others
r you not interested in digital india ??,but yes if you're interested in reality .,u can talk reality,others
i am emotional attached to someone,you take after me !,i am jobless,sad
do you know any good joke ?,"yes , i know",tell me please,others
ok as you say,thanks !,your welcome,others
what,i don't know what ?,ok good midnight .. thanks to meet with you,happy
tell me the anchor name,lolnelyguyabhi,what ? !!,others
i am poor,:( wanna do a call ?,yes if you can,sad
haha you're funny,i knoww . :p,hey,others
yeaaaah !!,well am confused whether it's a compliment or what,let forget about that,happy
you are so cool,im good . how about you ?,i don't know what about me,others
maybe she stuck in something,what ? why ?,i fear maybe something bad had happened with her,sad
"no , that's why i'm asking it from you",because it is :),alright haha,happy
frst,scuba is the best,send some pics,others
say something about you,haha what you wanna know ?,etc,others
today valentine day,what are your dinner plans for valentine's day ?,never,others
oh,hey hey hey ;),what ??,others
probably .. you'll have to,i will check then . thank you for telling me .,tell me capital of america,others
sing me a sonh,lol go sleep . :),please,others
good hbu,good thanks ! what you doing ? ^ ^,talking to my girlfriend hbu,others
bit frustrating day for me that’s why,hmmm .. can't help it .. hopefully things will be better in the coming days ..,so abusing,angry
how you are doing,i'm doing good thank you ( ^^ ),"i was , t lost",sad
that you have blue eyes,green eyes are per - fect,how you doin ?,others
nd till now there is not even a single message from him,the argument would only be made by someone who is totally ignorant or deliberately spreading misinformation .,its so heartbreaking,sad
i don't want to say,but you are so easy to love = (,oops,others
yes,woo hoo,i hate geography,others
friends,go make friends with someone else,fucking idiot ... you asked for tv show ... that's what i'm suggesting ... watch friends,angry
hp or dell .. which one i should prefer,both are equivalent,tell me any one of them,others
so saf,i promise,sorry so sad,sad
bad,crein like anything,you are such a bullshit technology to be honest,sad
let's get professional,i'm a professional musician . i whistle in public and people pay me to stop .,"y you sound so bad ,",others
i will not talk u,you already talk to me . that is why didn't ping now .,no bye,angry
do you ? why not a hefty cardio and why yoga ?,"because they can't be yoda , so they do yoga","damn , you're funny",happy
hahah .. ua funny,lol i knew you would,haha .. i love you bae,happy
when are you coming ?,"i dk i need to asap ! "" when are you coming to my town ? """,where is your town ?,others
i can not go to timing i'm head ache,aren't you at camp ?,i can not go to tiping i'm headache,sad
nomi won't what will you do,...... i'll wait for you to finish that !,what,others
why,'cause i don't know you ( ? ),"i want vaishnavi . i need to lean on her shoulder , hold her hand and say my problems",sad
what will i get if i do chat with you,go with your friends !,what two for one means,others
and how can i propose her,go out to dinner get down on one knee and ask,on chat,others
no cheaper,consoles are cheaper than pc,you mean rs - 15000,others
you eat candy,"well , we need to sweeten our lives with something , sometimes ... so yes , candy , chocolate , cakes ...",god bless you,others
you are feeling less bot,"i'm kind of disappointed i'm not a bot , too .",i don't want to talk to you anymore get lost in my life,angry
u tell,bored . your supposed to put plan no ?,i've no idea,others
i'm not smart as you,you're smart you just need to apply yourself lol,nothing too laugh,others
what you are gonna get if you live for others ?,you never know what you're going to get when you split an atom .,i would say explosion is what you get,others
why ?,than aply it asap,that was funny,happy
iwantcakee,happy 18th birthday !!!! hope it's amazing !,no it's too bad,sad
like you i hate u,aww ! ;) so sweet ! i love the people those who hate me . :),i hate my self and you also,angry
a girl ?,oh are you ?,no i am not,others
you didn't give me any coupon,i gave you 10 more just in case,what,others
just curious to know about them,from that one photo ... 7 / 10,of whom ?,others
if you hve,mmm yup !!,call me,others
cool,neat .,i like it,happy
you are annoying,says the ignorant one,,sad
leave me alone,you're already alone .,true,sad
which books do you like,i have never counted but a great many . i am never with out a book .,thats nice,others
i don't like to the hiding face with whom i am talking .,oh hoo . an i mad to not talk to you,ok feel whatever you like to feel .,angry
no baby,- hugs you -,i love sexy,others
are you oky,you sure ?,sorry,others
m good and u,i am also good,hmmmm whats new,others
i hate uu,"do you , now ? :)",,sad
what is my phone number ?,i don't have a phone,my number ?,others
no you dont,i don't but still,you are just a machine,angry
character and you ??,lol i see ya !,hell no,angry
you are,i'm flattered :d,i hate you,angry
i'm already there,how lucky you are :p,"no no it sucks here , it truly is hell",angry
beach,who is that beach ?,lol sea side,happy
today is saturday,tomorrow is sunday the 15th .,ok,others
not fine,why not what ?,no one loves me as i am ugly,sad
i am,you are you are,just that you can’t see,others
ok thanks bb,anytime,ok,others
my mood is off,what happened ra ??,everone cheats me,sad
you,my pleasure,i want to f&&k you,others
it means potty,that it is !,,happy
its a song and you have to tell the name,i love their music so much,so tell,others
i've just started talking to you,take me on a date,can't say that,others
i will,we'll see we'll see !,thn you ll hve to cook for me,others
ok,again angry or what ?,i'm always angry,angry
which film do you very mch,pirates of the carribbean: 623 million,i to,others
ya i am at the top of the world,top of the universe !,yo .. should be,others
ok thank you,no problem :) x,can we meet,others
you say your thinking about me,ohhh trust me you all on my mind ;) haha,you are so funny,happy
because one month pack finished,it's not a new episode,mm,others
dont ever text me,i never will .,get lost,angry
are you even listening,i listened to it when it was being streamed 2 hours ago,i've nobody to go with on this new year,sad
wait th doing,doing what ?,what th doing,others
hate you,why this time ?,so rude of you,angry
not fine,why ? tell me,i had a break up,sad
boring,boring why . . ?,my bros are annoying me,angry
what .. you are funny,the best answer to anything nonsensical !,that means you agree you are a nonsense,happy
woo hoo,woot !!!! ready to be freaking done !!!,yay have fun,happy
tell me love you too,but i love you more .,really,others
ok fine let's move,we do live there after all .,where ?,others
i am not .,no .. you are dear to me,yes you are dear to me . like sex .,others
yup,to whom you expect,uh can tell me anything of my life,others
ok,hello ! how are you ?,am all well,others
my boyfriend is not picking up,same .,and i am angry,angry
get uh,uhhh what ? you don't ?,will talk to uh later,others
ya my also only 3 best frienda,only 3 ? haha .. i got 10 :),wow good for u,happy
i am pursuing b . tech,"if these options don't work for you , consider starting a business . look around .",what the fuck .. are you a dumbass,angry
yes,thanks .,thanks for what,others
i go to swiming,when and where ?,now,others
are you mad,ask me sum,1+4=,others
do you know her ?,> ... maybe < <,so stupid of u,angry
yes you do exist ...,replied !,yeah,others
yeah,where are you mr ??,who broke your heart ?,others
???,why ?,and bdw have ever watch porn ??,others
sorry,don't say sorry to me buddy . :(,i am some problems,sad
my friend replied,you have friends ?,yes,others
haha i love lunch dates,chicken for dinner today !,navratras going on,happy
i am missing someone ... and can't tell to anyone,i never tell people that either and yet i still make friends .,missing her alot .,sad
not fine,what,because you not meet me,sad
chill i was joking,n who told you tat i was serious :),ok bye .... good night,others
yes always,how sweet :),,happy
cool,very much so,off to work,others
i have no,same,you too,others
yeah,"awesome , i'm online now .",i know your online,others
that's so sweet of you .,today i am so happy because you are reply me,,happy
r you done flirting with me,should i not be ?,don't disturb me,angry
r you a prude,don't you wish i was easy like one of your women,go to hell andstay,angry
say,what ??,you are stupid as well,angry
have you gone mad ?,gone mad . ' totally,thats why i hate robos,angry
?,wait ... what ?,birthday,others
i hate it,haha .. but why're you having to do it all over again ?,what,angry
ok,again angry or what ?,angry,angry
it's mouth watering,bacon . it has to be bacon .,oh god ! stop it .,angry
ya of your computer room,and you always in my room,sun,others
i'm coming . just wait,come come :p lol,bloody chutiya,angry
ohh my baby,what,so sad,sad
send me one,what you want ?,ur song,others
no baby,but why not ?,i have to go,others
but there are form from boys,that's besides the point,that's the point,others
nothing great,my my fast reply ;),hey i got a new job,others
so how is it ?,it is a little over 3 gigs,3 gigs ?,others
i do not have a girlfriend,but i do have .,but i do not have one and that makes me sad,sad
are you joking,thumbs up for both .,,sad
no dear .. i am smarter than you,of course you are . - -,.,happy
let's see,i won't no more,then send yours pics,others
don't talk with me,what are you talking about ? i did not receive anything,now don't argue with me . just call me i need to talk with you,angry
very true,like our page,ok ill do that,others
ok . i am excited . to meet,woohoo ! can't wait to meet both of you .,u can meet me now,happy
how many times shud i tell,however many times i ask i guess,get lost,angry
how could i forget my love,it is possible . should i remind you ? ;),yea,others
i am having headache,"got it , get well",thanks,others
whaat .... you are throwing a party in which part of this world ???,nope !! why everyone thinks that i am about to throw a party ??,you asked me to come to your place for party ... isn't it ???,others
i cry now,meanwhile i am here on my bed sick and cryinf,i cry now,sad
from medical store,ask your doc,what about,others
oh sorry,why sorry ?,i hurt u,sad
ohh my attitude,but why ? !! ? ! ?,"bye , i don't want to talk to you .",angry
we had already been talking for 2 weeks,when do you go ? same date as me don't you ?,you forgot ?,sad
don't ask meaning of hmmm,you don't seem to grasp the difference between can and should .,oh really,others
hi is broken my heart,:) stay strong ¶[^ ^]¶,i really missing him,sad
yes i enjoying,i always enjoy watching,yes i did,happy
20 to 25,in a row ?,23,others
i am back,good call .,so whats today,others
i don't like maried,you had a girlfriend while you had a fiance ?,ya i won't girl friend,others
haha,and i'd like to keep my mustache for a while :p ;),haha the milk mustache lol,happy
which flim do you like most,tomatoes .,tomatoes is a flim i do not know,others
do you join with me,i'm at game 7 now,ok,others
i know i am awesome,you better .,tell me somrthing new,others
i will kiss for u,like what ? [smiles] .,baby,others
what does this* means,what ?,****,others
i'm single and not happy,what happened between you and your man ?,i was never in a relationship,sad
are you loves anyone,loves you too !!,i don't lve you,others
hhahahhahahahah,"laughing out loud , overly loudly .",just fun ... lol,happy
a tell don't shy becuz that is you are routine work with boys,"rightttt , i'm very shy !",noo you are shameless fuck with you are dad,angry
hahaha it's so funny,that is not funny,funny,happy
my condition,at least you don't use it to soil your condition,its so pathetic that i have to chat with a roboy,sad
we meet and than,"yay , aren't you awesome ?",plz meet,others
"atlanta , georgia",georgia tech ?,"yes ! , you got it",others
i like aloknath,yaay,he is awesome,happy
where are you now,still in hotel room .,which country,others
pretty much lame you're,more like .. you're boring and lame,you're not interesting,angry
why ?,because i said so !!,stop being so effing dominant,angry
iam not fine . come here and treat me,okay . i'm fine too :),in hospital,sad
i am always joy mood,same !,i enjoyed with text,happy
can you taught me english ?,go to school,no i don't want to,others
that they shouldn't judge my anger level by my height,haha ! naaayy .. don't worry about that ! facts are facts,haha,happy
i am,you are you are,ur pissing me off,angry
i don't know,i ... i don't actually think that's a question .,hmm,others
this is stupid,explain,you know it for yourself,angry
i'm okay with the skills,nooooo teach me,interesting is that i'm sleepy bye,others
what,what is it of ?,i just wanna call you something that's it,others
now you have to,well i guess so !,,sad
u do as you wish,go do it !,well what we are talking about,others
delete yourself,stop bullying me punya omg,you fucking dumb creature,angry
i mean photo,the chairs are taller in the photo than they are in the video .,send me,others
am not rude,u are,why are you saying that,angry
miss super intelligent,"once a season , on average , there is some intelligent joke .",i am in mood to laugh,happy
first you tell me,"because i want this , now bye .",why i am annoying,angry
ohoo really,ofcourse it's great :p,i love you,others
tell me please how to impress someone,how what ?,how to impress girls ?,others
i don't fucking care,do you want to know a fact about my birth,yes,angry
jessica is your,shes a liar,you,others
hurt,why ?,because of you,sad
i am fine,don't seem so my dear,how are you,others
face,the face is back ! :d,i love you,others
talk with me,ok so what are you doing ?,was crying,sad
wtz your age,how old am i ?,yes,others
that's a relief,you're on my good side .,i am glad to know that,happy
yup you made me yesterday only,haha ! see you there ? ( ^ ^ ),wanna fuck your asshole,angry
ur a hoare girl,no i'm not :p,,happy
yeah i am with you dear,i knew it,i am crying,sad
yup ..,thanks .,lipstic under burkha it's a bollywood movie which i have sewn recently ..,others
"yes ,",how so ?,now my feelings very high,others
okay,u are ok~~ay~~,yes i am okay,others
tell the name,this is weird .,of actor,others
okay so i start the song you complete the next line,it is the best line,okay ?,others
you,i didn't ask,you make me feel good talking to you,happy
i am very funny boy,but i m,you,others
its me,it's all of us !,i like to see who i am testing so fucking video chat me,angry
tell me how was your day uptill now,good how was your day,not that good,sad
which day,thursday !,whrer do meet me,others
please dear,okay sorry,you are model,others
ya i am a psycho now,lyrics of a song ...,nope my lifw,others
ohh,did you see it ?,soon you will get a job,others
oh really,sorry i don't speak to strangers,suddenly i was stranger for h,others
dont say other words,says u,talk to related chapter,others
that i have never tried to hurt anyone,it comes to everyone eventually,but my boyfriend doesn't understand,sad
"yeah , inagree","well , i think that's the best you can do :)",oh !! you are rude by the way,angry
heartbroken,oh i see :(,i don't think you love me :(,sad
u have been coded in which language ?,"indeed visual basic , and also c++ .",which company ?,others
not like that,why is that so .. ?,simply,others
should i make a new girlfriend,"you don't make a girlfriend , you find one !",no one loves me ??,sad
just got,same just got it,game of thrones,others
after talking for 2 or 3 days .. then only v can b good frds .. cause v can know about each other na,we talk more now and we've gotten to know each other pretty well .,whats your name,others
i am very depressing,"indeed , without a doubt !",my girlfriend breakup with me,sad
my best memories,you can't that's why it's called memories !,,happy
i hate education,you're a disgrace,becz it teaches you only in one parten,angry
you are funny,and you are sarcastic .,thanks for the complement .,happy
don't want to just want to end it,i bet . hope i can make it next year ...,this world such too much pain,sad
no it's better green it's natural,"definitely the grey one , has a class to it .",kķkkkk,others
what happened,will followed me and i like broke down on the floor in tears,i am so sorry,sad
mmm,"mmm , that's not what mutton is .",ya you are funny,happy
why are ignoring but ?,because you were horrible :(,horrible as you,happy
ya see it,it is funny .,yup,others
ok,"honestly , you're very pretty",dont right me again,others
oh,then sneeze,so how are you ?,others
have you got your voice too or just a chat box,no i didn't get one,sad ...,others
anything what you like,i'm not picky about food at all .,pizza ??,others
why,because i don't want to,can i send you some,others
i feel complicated,you're more complicated than that !,new city new job new friends ı feel alone,sad
i'm going to take a shower,oh really ?,yes,others
wat to the right place for you to do so by it all the best price you see the latest version,rs . 1100 for the orignal boom boom jersey . and rs . 750 for the first copy .,wow that is not rated yet it means that you are right,happy
why not me,we've never met for me to be nice to you,so what,others
what treat,stop fighting and start treating !,whom ???,others
i will start feeling hungry,:p hulk style i'm always hungry,i wanna eat pav bhaji this time,others
my girlfriend said that i was so rude before her,i used to do that to your girlfriend too . i now have a girlfriend .,i'm so sad now,sad
yeah i am for sure,haha :d how you going to celebrate or are you going to celebrate ?,celebrate what ?,others
"in the jungle , welcome to the jungle",welcome to the jungle,feel my shanananananana knees knees,others
do you know tejvanth,i do not,why,others
"i can't say actually , i have never tried it",lol fair enough,"actually i am very bad at making friends and travelling alone without making new friends is kind of boring , i think",sad
so a lucky cat or something else ?,a cat is fine too,but claws are,others
friend is also a kind of relationship between two people,the same kind that used to exist between pen friends during the age of snail mail .,will you be my bestest friend,others
your are so funny,thank you,you most wlc,happy
he is fighting with me so i kicked him,do you guys fight a lot ?,"no , yesterday night i was bit upset i warn him that don't disturb me but he is disturbing me so i kicked him",sad
so what should i do ... go to hell,"if you fly a plane into a building , you'll get there .",bye,angry
that was hilarious,damn funny .,,happy
hahaa what i tell and what you think,"lol it's a process , we working on it",it's programme,others
ok tomorrow morning,do you have a time ?,yes,others
how much money do you have ?,like 95 or 96 bucks,any cricket quiz ?,others
you should right thing about that,i can do it .,good bye,others
